,rank,name,scores_teaching
40,1,University of Oxford,91.0
41,=2,California Institute of Technology,93.6
42,=2,Harvard University,94.5
43,4,Stanford University,92.3
44,=5,University of Cambridge,90.9
45,=5,Massachusetts Institute of Technology,90.9
46,7,Princeton University,89.5
47,8,University of California,85.7
48,9,Yale University,90.7
49,10,The University of Chicago,87.2
50,11,Columbia University,87.8
51,12,Imperial College London,81.4
52,=13,Johns Hopkins University,80.0
53,=13,University of Pennsylvania,84.5
54,15,ETH Zurich,81.3
55,=16,Peking University,91.4
56,=16,Tsinghua University,88.1
57,=18,University of Toronto,77.6
58,=18,UCL,76.8
59,20,University of California,82.1
