,rank,name,scores_teaching
20,1,University of Oxford,91.3
21,2,Stanford University,92.2
22,3,Harvard University,94.4
23,4,California Institute of Technology,92.5
24,5,Massachusetts Institute of Technology,90.7
25,6,University of Cambridge,90.3
26,7,University of California,85.8
27,8,Yale University,91.9
28,9,Princeton University,88.8
29,10,The University of Chicago,88.9
30,11,Imperial College London,82.3
31,12,Johns Hopkins University,81.6
32,13,University of Pennsylvania,85.4
33,14,ETH Zurich,80.4
34,15,University of California,82.5
35,16,UCL,76.6
36,17,Columbia University,85.1
37,18,University of Toronto,75.4
38,19,Cornell University,78.8
39,=20,Duke University,80.7
