,rank,name,scores_teaching
80,1,University of Oxford,96.6
81,2,Stanford University,99.0
82,3,Massachusetts Institute of Technology,98.6
83,4,Harvard University,97.7
84,5,University of Cambridge,95.8
85,6,Princeton University,96.3
86,7,California Institute of Technology,96.6
87,8,Imperial College London,90.9
88,9,University of California,87.2
89,10,Yale University,94.0
90,11,ETH Zurich,87.6
91,12,Tsinghua University,95.3
92,13,The University of Chicago,89.6
93,14,Peking University,95.6
94,15,Johns Hopkins University,84.4
95,16,University of Pennsylvania,87.7
96,17,Columbia University,88.6
97,18,University of California,85.7
98,19,National University of Singapore,78.8
99,20,Cornell University,85.7
