,rank,name,scores_teaching
60,1,University of Oxford,92.3
61,2,Harvard University,94.8
62,=3,University of Cambridge,90.9
63,=3,Stanford University,94.2
64,5,Massachusetts Institute of Technology,90.7
65,6,California Institute of Technology,90.9
66,7,Princeton University,87.6
67,8,University of California,86.4
68,9,Yale University,92.6
69,10,Imperial College London,82.8
70,=11,Columbia University,89.4
71,=11,ETH Zurich,82.6
72,13,The University of Chicago,86.5
73,14,University of Pennsylvania,86.0
74,15,Johns Hopkins University,79.4
75,16,Tsinghua University,90.1
76,17,Peking University,92.5
77,18,University of Toronto,77.3
78,19,National University of Singapore,76.4
79,20,Cornell University,80.2
